 soy lecithin,79
 cocoa butter soy lecithin,1
 lecithin,4
 emulsifier (soya lecithin,1
 potassium sorbate (preservative) and soy lecithin,1
 sunflower lecithin,2
 soya lecithin,1
 oil soy lecithin,1
 organic sunflower lecithin,1
